id,day,date,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti
196,9,2020-03-04,ITA,12,Lazio,41.89277044,12.48366722,15,3,18,9,27,16,16,3,0
197,9,2020-03-04,ITA,7,Liguria,44.41149315,8.9326992,10,3,13,8,21,2,2,4,1
198,9,2020-03-04,ITA,3,Lombardia,45.46679409,9.190347404,877,209,1086,411,1497,171,300,250,73
199,9,2020-03-04,ITA,11,Marche,43.61675973,13.5188753,34,15,49,31,80,21,23,0,4
200,9,2020-03-04,ITA,14,Molise,41.55774754,14.65916051,3,0,3,0,3,0,0,0,0
201,9,2020-03-04,ITA,21,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,0
202,9,2020-03-04,ITA,22,P.A. Trento,46.06893511,11.12123097,1,0,1,4,5,1,1,0,0
203,9,2020-03-04,ITA,1,Piemonte,45.0732745,7.680687483,26,13,39,43,82,26,26,0,0
204,9,2020-03-04,ITA,16,Puglia,41.12559576,16.86736689,4,0,4,3,7,1,3,1,1
205,9,2020-03-04,ITA,20,Sardegna,39.21531192,9.110616306,1,0,1,1,2,1,1,0,0
206,9,2020-03-04,ITA,19,Sicilia,38.11569725,13.3623567,5,0,5,11,16,11,11,2,0
207,9,2020-03-04,ITA,9,Toscana,43.76923077,11.25588885,15,2,17,20,37,19,19,1,0
208,9,2020-03-04,ITA,10,Umbria,43.10675841,12.38824698,1,1,2,7,9,1,1,0,0
209,9,2020-03-04,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0
210,9,2020-03-04,ITA,5,Veneto,45.43490485,12.33845213,76,23,99,246,345,48,53,9,6
211,10,2020-03-05,ITA,13,Abruzzo,42.35122196,13.39843823,8,0,8,0,8,1,1,0,0
212,10,2020-03-05,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,1,1,0,0,0,0
213,10,2020-03-05,ITA,18,Calabria,38.90597598,16.59440194,1,0,1,1,2,1,1,0,0
214,10,2020-03-05,ITA,15,Campania,40.83956555,14.25084984,12,0,12,33,45,14,14,0,0
215,10,2020-03-05,ITA,8,Emilia-Romagna,44.49436681,11.3417208,327,32,359,299,658,142,154,10,30
216,10,2020-03-05,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,4,0,4,17,21,3,3,0,0
217,10,2020-03-05,ITA,12,Lazio,41.89277044,12.48366722,20,7,27,14,41,14,14,3,0
218,10,2020-03-05,ITA,7,Liguria,44.41149315,8.9326992,11,3,14,7,21,0,2,4,3
219,10,2020-03-05,ITA,3,Lombardia,45.46679409,9.190347404,1169,244,1413,364,1777,280,431,376,98
220,10,2020-03-05,ITA,11,Marche,43.61675973,13.5188753,57,19,76,44,120,40,40,0,4
221,10,2020-03-05,ITA,14,Molise,41.55774754,14.65916051,4,0,4,3,7,4,4,0,0
222,10,2020-03-05,ITA,21,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,0
223,10,2020-03-05,ITA,22,P.A. Trento,46.06893511,11.12123097,2,0,2,5,7,2,2,0,0
224,10,2020-03-05,ITA,1,Piemonte,45.0732745,7.680687483,43,17,60,46,106,24,26,0,2
225,10,2020-03-05,ITA,16,Puglia,41.12559576,16.86736689,5,1,6,6,12,5,5,1,1
226,10,2020-03-05,ITA,20,Sardegna,39.21531192,9.110616306,2,0,2,0,2,0,0,0,0
227,10,2020-03-05,ITA,19,Sicilia,38.11569725,13.3623567,5,0,5,11,16,0,0,2,0
228,10,2020-03-05,ITA,9,Toscana,43.76923077,11.25588885,26,3,29,31,60,23,23,1,0
229,10,2020-03-05,ITA,10,Umbria,43.10675841,12.38824698,1,1,2,7,9,0,0,0,0
230,10,2020-03-05,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,2,2,2,2,0,0
